"Application Name","Publisher","App Type","Enabled","Signed Last 30 Days","Roles - User Count","Roles - Group Count","Roles - App Count","Admin Consent","Admin Consented To","Users Consented","Users Consented To","App Permissions Assigned","App Permissions Assigned To","Longest Consent Valid Until","ApplicationId","Service Principal ObjectId","Homepage","ReplyURLs","Tags"
"Ivanstestapp","IVIRatchev","OIDC/oAuth2.0","True","False","1","0","0","True","Windows Azure Active Directory","0","","True","Microsoft Graph","9/8/2019 9:09:25 PM","10d9cb62-8ee8-41b8-8850-3b3ff5145e95","0267825d-298d-4e28-98f9-b5a1425da2d2","http://test","[http://test]","[WindowsAzureActiveDirectoryIntegratedApp]"
"DG Gateway","IVIRatchev","AAD App Proxy","True","False","1","0","0","True","Windows Azure Active Directory","0","","N/A",,"1/1/2099 12:00:00 AM","067fe328-32c0-4bb9-924e-4ac7e41e6e97","09e15f96-0ffb-450c-b704-5e23b368910b","https://dggateway-adrianlabs.msappproxy.net/","[https://dggateway-adrianlabs.msappproxy.net/]","[WindowsAzureActiveDirectoryOnPremApp][8adf8e6e-67b2-4cf2-a259-e3dc5476c621][WindowsAzureActiveDirectoryGalleryApplicationNonPrimaryV1][WindowsAzureActiveDirectoryCustomSingleSignOnApplication][WindowsAzureActiveDirectoryIntegratedApp]"
"ADFS 2016 - On-Prem","Ratchev","AAD App 3d Party + SSO","True","False","2","0","0","N/A","","0","","N/A",,,"f31b7ebb-36a3-4884-8bec-76ab0350cd79","10e7d262-083e-4c83-9419-8b0ba6537710","https://adfs.iviratchev.com/adfs/ls","[https://adfs.iviratchev.com/adfs/ls]","[8adf8e6e-67b2-4cf2-a259-e3dc5476c621][WindowsAzureActiveDirectoryGalleryApplicationNonPrimaryV1][WindowsAzureActiveDirectoryCustomSingleSignOnApplication][WindowsAzureActiveDirectoryIntegratedApp]"
"Amazon Web Services (AWS)","IVIRatchev","AAD App Gallery SAML","True","False","0","3","0","N/A","","0","","N/A",,,"11091e8f-3fe1-404e-9239-90f379cbfd91","142ee376-48f0-474c-a053-c63aea4c1123","https://signin.aws.amazon.com/saml?metadata=aws|ISV9.1|primary|z","[https://signin.aws.amazon.com/saml]","[8b1025e4-1dd2-430b-a150-2ef79cd700f5][WindowsAzureActiveDirectoryGalleryApplicationPrimaryV1][WindowsAzureActiveDirectoryIntegratedApp]"
"Azure Lab","IVIRatchev","AAD App Proxy","True","True","3","0","0","True","Windows Azure Active Directory","0","","N/A",,"1/1/2099 12:00:00 AM","535c5995-af58-4632-b884-08791b1bc303","17748fd4-ec85-4971-a07f-33b7616f47a4","https://azurelab-adrianlabs.msappproxy.net/RDWeb/","[https://azurelab-adrianlabs.msappproxy.net/RDWeb/]","[WindowsAzureActiveDirectoryOnPremApp][8adf8e6e-67b2-4cf2-a259-e3dc5476c621][WindowsAzureActiveDirectoryGalleryApplicationNonPrimaryV1][WindowsAzureActiveDirectoryCustomSingleSignOnApplication][WindowsAzureActiveDirectoryIntegratedApp]"
"WBA Kerb App","IVIRatchev","AAD App Proxy","True","False","1","0","0","True","Windows Azure Active Directory","0","","N/A",,"1/1/2099 12:00:00 AM","ffc801fa-152f-4612-a88e-3567299849d9","17deec1f-9959-486d-bd4f-d03d05559cab","https://kerbapp-adrianlabs.msappproxy.net/","[https://kerbapp-adrianlabs.msappproxy.net/]","[WindowsAzureActiveDirectoryOnPremApp][8adf8e6e-67b2-4cf2-a259-e3dc5476c621][WindowsAzureActiveDirectoryGalleryApplicationNonPrimaryV1][WindowsAzureActiveDirectoryCustomSingleSignOnApplication][WindowsAzureActiveDirectoryIntegratedApp]"
"Salesforce","Ratchev","AAD App Gallery","True","False","3","2","0","N/A","","0","","N/A",,,"5ff3a17c-43af-476a-9657-74b23ce996ba","1dd08f91-569a-4b73-b9d5-bf0c06eddfa4","https://*.my.salesforce.com/*?metadata=salesforce.com|ISV9.1|primary|z","[https://*.my.salesforce.com/*]","[cd3ed3de-93ee-400b-8b19-b61ef44a0f29][WindowsAzureActiveDirectoryGalleryApplicationPrimaryV1][WindowsAzureActiveDirectoryIntegratedApp]"
"HOR 8 NTLM App","IVIRatchev","AAD App Proxy","True","False","1","0","0","True","Windows Azure Active Directory","0","","N/A",,"1/1/2099 12:00:00 AM","9f8bbdd4-83e7-41ad-a661-f050b7dac502","286296e7-f8b2-4c0b-9f69-fc62a86606e2","https://aadpntlm.iviratchev.com/","[https://127.0.0.1:444/applications/default.aspx][https://aadpntlm.iviratchev.com/]","[WindowsAzureActiveDirectoryOnPremApp][8adf8e6e-67b2-4cf2-a259-e3dc5476c621][WindowsAzureActiveDirectoryGalleryApplicationNonPrimaryV1][WindowsAzureActiveDirectoryCustomSingleSignOnApplication][WindowsAzureActiveDirectoryIntegratedApp]"
"Ivan SPA Simple","IVIRatchev","OIDC/oAuth2.0","True","True","1","0","0","False","","1","Microsoft Graph","N/A",,"10/8/2019 6:07:11 PM","e1f9a322-09e8-491f-9a51-f5c1777a6ef4","2a94c40e-a809-4acb-ae74-0a20c27a6b41",,"[http://localhost:30662/]","[WindowsAzureActiveDirectoryIntegratedApp]"
"DownstreamService-OBO-CA","IVIRatchev","AAD Integrated","True","False","0","0","0","N/A","","0","","N/A",,,"64d0abbf-a004-4eef-8a90-d4c26f70da89","2d83ffe0-26ed-4cf0-a456-e1d700348555","https://localhost:44302/","[https://localhost:44302/]","[WindowsAzureActiveDirectoryIntegratedApp]"
"TestAppRoles","IVIRatchev","AAD Integrated","True","False","1","1","1","N/A","","0","","N/A",,,"8c3ad583-b2a4-4ecb-a236-57611f3519fe","2e5d57ae-c43c-4d84-821b-7396a32e41b8",,"[Https://localhost]","[WindowsAzureActiveDirectoryIntegratedApp]"
"Test App Site","IVIRatchev","OIDC/oAuth2.0","True","False","1","0","0","True","Microsoft Graph","0","","True","TestAppRoles","9/25/2019 2:30:22 AM","eb912153-a37e-416d-9016-36c1bd7a9553","33bb15c1-d831-4a90-ad9f-e4ec3a1f6b7d",,"[https://mysite]","[WindowsAzureActiveDirectoryIntegratedApp]"
"ivantestnopreauth","IVIRatchev","AAD App Proxy","True","False","0","0","0","True","Windows Azure Active Directory","0","","N/A",,"1/1/2099 12:00:00 AM","67e53986-7ac0-423c-b0de-142744b1a62a","3521f62b-4c9e-4426-8612-40eb25d5e21b","https://ivantestnopreauth-adrianlabs.msappproxy.net/","[https://ivantestnopreauth-adrianlabs.msappproxy.net/]","[WindowsAzureActiveDirectoryOnPremApp][8adf8e6e-67b2-4cf2-a259-e3dc5476c621][WindowsAzureActiveDirectoryGalleryApplicationNonPrimaryV1][WindowsAzureActiveDirectoryCustomSingleSignOnApplication][WindowsAzureActiveDirectoryIntegratedApp]"
"FMI-SP Publishing","IVIRatchev","AAD App Proxy","True","True","1","0","0","True","Windows Azure Active Directory","0","","N/A",,"1/1/2099 12:00:00 AM","5551d523-30eb-4fb1-9a01-8b2d8f347b26","3ffd46d5-3d00-4d34-8570-8d17f42a376a","https://fmisp-adrianlabs.msappproxy.net/sampapp/","[https://fmisp-adrianlabs.msappproxy.net/sampapp/]","[WindowsAzureActiveDirectoryOnPremApp][8adf8e6e-67b2-4cf2-a259-e3dc5476c621][WindowsAzureActiveDirectoryGalleryApplicationNonPrimaryV1][WindowsAzureActiveDirectoryCustomSingleSignOnApplication][WindowsAzureActiveDirectoryIntegratedApp]"
"Just to Get Authz Code","IVIRatchev","OIDC/oAuth2.0","True","True","1","0","0","False","","1","Microsoft Graph","N/A",,"10/15/2019 1:36:20 PM","7747826d-dcc4-4430-a4f5-29f1f9a15776","43369cd9-1923-4671-bd5f-467fdf883191","https://localhost:44350/","[https://localhost:44350/]","[WindowsAzureActiveDirectoryIntegratedApp]"
"Yammer","Ratchev","AAD App Gallery","True","False","0","0","0","N/A","","0","","N/A",,,"deb8e141-fd57-4a7c-8398-482c828bd120","43fbe817-e9e9-4386-a92f-0ece682f2eae","https://127.0.0.1:444/applications/default.aspx?metadata=yammer|ISV9.3|primary|z","[https://127.0.0.1:444/applications/default.aspx]","[45a5c24a-83ac-4d38-8028-6006f5c07fef][WindowsAzureActiveDirectoryGalleryApplicationPrimaryV1][WindowsAzureActiveDirectoryIntegratedApp]"
"Ivan Desktop App","IVIRatchev","OIDC/oAuth2.0","True","True","1","0","0","False","","1","Microsoft Graph","N/A",,"10/9/2019 6:13:11 PM","ceb1f44e-c619-4288-9ef4-6318c6d24af0","45472c0f-2597-494c-a284-798780a600b2",,"[urn:ietf:wg:oauth:2.0:oob]","[WindowsAzureActiveDirectoryIntegratedApp]"
"AD FS 2016","Ratchev","AAD Integrated","True","False","1","0","0","N/A","","0","","N/A",,,"16e3f7b8-6546-41bc-9bf3-030e20316005","464b9d3f-48df-4a5b-bc07-3357fafd85a0","https://adfs.iviratchev.com/adfs/ls","[https://adfs.iviratchev.com/adfs/ls]","[WindowsAzureActiveDirectoryIntegratedApp]"
"AKAADServer","IVIRatchev","OIDC/oAuth2.0","True","False","1","0","0","True","Microsoft Graph","0","","True","Microsoft Graph","9/23/2019 10:41:05 PM","47d799e4-9f94-4c5a-a6f1-bc53776ddecc","487400f3-cf2e-45ee-bcb5-1e379365e86d","http://AKSAADServer","[http://AKSAADServer]","[WindowsAzureActiveDirectoryIntegratedApp]"
"mfa app","Ratchev","AAD App Proxy","True","False","0","0","0","N/A","","0","","N/A",,,"3c238ff4-1fc0-4fce-9edd-352274dc26ff","4d9b41b8-e6bb-4947-822c-f170753468d9","https://mfaapp.iviratchev.com/mfa/","[https://mfaapp.iviratchev.com/mfa/][https://127.0.0.1:444/applications/default.aspx]","[WindowsAzureActiveDirectoryOnPremApp][8adf8e6e-67b2-4cf2-a259-e3dc5476c621][WindowsAzureActiveDirectoryGalleryApplicationNonPrimaryV1][WindowsAzureActiveDirectoryCustomSingleSignOnApplication][WindowsAzureActiveDirectoryIntegratedApp]"
"TodoListSPA-OBO-CA","IVIRatchev","OIDC/oAuth2.0","True","True","1","0","0","False","","1","TodoListService-OBO-CA","N/A",,"10/8/2019 3:50:17 PM","f80ce29e-a14d-4d66-bbbf-00f96494e1bf","59df163b-7ec5-48ca-923f-3cc55b33b08b","http://localhost:16969/","[http://localhost:16969/]","[WindowsAzureActiveDirectoryIntegratedApp]"
"Postmantest","IVIRatchev","AAD Integrated","True","True","1","0","0","N/A","","0","","True","Microsoft Graph",,"8e6161d7-6491-4daa-8b4a-26997019b6c0","5cd73a08-3ddb-47e1-bd6f-88125ab8e4aa","https://www.getpostman.com","[https://localhost:44350/][https://www.getpostman.com/oauth2/callback]","[WindowsAzureActiveDirectoryIntegratedApp]"
"somenewfunkyapp","Ratchev","AAD Integrated","True","False","0","0","0","N/A","","0","","N/A",,,"ea966cde-443b-4bd1-8393-d331428450ce","5d4284cd-d727-405f-8af9-c09bb224f31b","https://somenewfuncky.com","[https://somenewfuncky.com]","[WindowsAzureActiveDirectoryIntegratedApp]"
